"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2007","12,690.62","12,180.77","12,971.21","12,078.53","","4.39%"
"11/01/2007","12,156.74","12,345.91","12,672.25","11,647.79","","-1.64%"
"10/01/2007","12,359.45","11,623.56","12,436.68","11,443.13","","6.28%"
"09/01/2007","11,629.43","11,066.06","11,648.79","10,856.54","","5.02%"
"08/01/2007","11,073.54","11,395.90","11,476.20","10,408.77","","-3.53%"
"07/01/2007","11,478.56","11,019.23","11,959.74","10,996.53","","4.27%"
"06/01/2007","11,008.32","10,370.98","11,175.05","10,317.16","","6.15%"
"05/01/2007","10,370.15","11,159.19","11,226.28","9,947.66","","-7.45%"
"04/01/2007","11,205.07","11,318.22","11,666.78","11,056.94","","-1.07%"
"03/01/2007","11,326.33","10,923.87","11,430.72","10,016.40","","3.62%"
"02/01/2007","10,930.69","11,007.94","11,635.44","10,801.33","","-0.59%"
"01/01/2007","10,995.87","11,287.50","11,287.50","10,402.69","","-3.55%"
"12/01/2006","11,400.53","10,510.70","11,435.05","10,437.58","","8.44%"
"11/01/2006","10,513.34","9,719.79","10,547.77","9,719.79","","8.33%"
"10/01/2006","9,705.26","9,334.73","9,981.31","9,039.79","","4.09%"
"09/01/2006","9,323.57","9,782.80","9,946.58","8,708.23","","-4.67%"
"08/01/2006","9,780.59","9,354.57","10,068.55","9,314.95","","4.35%"
"07/01/2006","9,372.74","9,055.93","9,507.37","8,691.95","","2.98%"
"06/01/2006","9,101.18","8,847.47","9,432.99","7,424.76","","2.65%"
"05/01/2006","8,866.55","10,165.55","10,930.69","7,984.56","","-13.05%"
"04/01/2006","10,197.14","8,936.69","10,411.77","8,936.19","","13.82%"
"03/01/2006","8,958.64","9,192.63","9,436.14","8,447.16","","-2.53%"
"02/01/2006","9,191.38","8,324.72","9,694.83","8,280.06","","10.45%"
"01/01/2006","8,321.50","7,302.10","8,673.95","7,302.10","","14.19%"
"12/01/2005","7,287.17","6,720.11","7,386.98","6,720.11","","8.74%"
"11/01/2005","6,701.53","5,993.19","6,789.93","5,988.83","","12.14%"
"10/01/2005","5,976.28","6,466.43","6,773.55","5,621.98","","-7.46%"
"09/01/2005","6,458.30","5,665.08","6,463.42","5,473.10","","14.07%"
"08/01/2005","5,661.69","5,015.31","5,693.18","4,993.94","","12.70%"
"07/01/2005","5,023.84","4,548.00","5,056.42","4,546.39","","10.31%"
"06/01/2005","4,554.40","4,269.26","4,561.75","4,220.63","","6.90%"
"05/01/2005","4,260.47","4,186.00","4,260.47","3,977.32","","1.69%"
"04/01/2005","4,189.79","4,190.81","4,512.16","4,182.79","","0.08%"
"03/01/2005","4,186.48","4,463.13","4,493.37","4,082.57","","-6.44%"
"02/01/2005","4,474.41","4,028.33","4,475.47","4,012.78","","11.19%"
"01/01/2005","4,024.22","3,831.28","4,044.43","3,739.94","","5.02%"
"12/01/2004","3,831.97","3,952.34","3,952.34","3,418.83","","-3.90%"
"11/01/2004","3,987.43","4,311.85","4,395.85","3,977.27","","-7.16%"
"10/01/2004","4,294.87","4,195.75","4,542.84","4,161.41","","3.49%"
"09/01/2004","4,149.98","3,835.40","4,187.26","3,824.61","","7.94%"
"08/01/2004","3,844.82","3,574.55","3,844.82","3,507.66","","8.79%"
"07/01/2004","3,534.06","3,854.90","3,968.60","3,388.68","","-7.18%"
"06/01/2004","3,807.57","3,799.19","4,048.59","3,450.36","","0.53%"
"05/01/2004","3,787.34","4,190.35","4,211.39","3,734.85","","-7.61%"
"04/01/2004","4,099.08","4,836.15","5,035.40","4,072.64","","-14.98%"
"03/01/2004","4,821.17","4,328.32","4,838.91","4,232.56","","12.21%"
"02/01/2004","4,296.46","3,921.84","4,296.46","3,875.07","","9.74%"
"01/01/2004","3,915.27","3,801.47","4,032.20","3,801.47","","4.21%"
"12/01/2003","3,757.15","3,467.93","3,792.31","3,454.96","","6.16%"
"11/01/2003","3,539.21","3,492.27","3,760.15","3,148.38","","4.15%"
"10/01/2003","3,398.23","3,902.54","4,396.42","3,330.30","","-12.88%"
"09/01/2003","3,900.45","3,677.72","3,916.63","3,660.28","","7.10%"
"08/01/2003","3,641.91","3,099.27","3,642.32","3,071.15","","17.11%"
"07/01/2003","3,109.79","3,428.66","3,553.88","2,934.68","","-9.50%"
"06/01/2003","3,436.18","3,222.62","3,452.18","3,145.62","","6.67%"
"05/01/2003","3,221.39","2,953.90","3,255.20","2,924.83","","9.06%"
"04/01/2003","2,953.84","2,546.54","3,142.94","2,522.33","","16.17%"
"03/01/2003","2,542.69","2,736.91","2,844.35","2,536.62","","-6.56%"
"02/01/2003","2,721.15","2,480.90","2,721.15","2,469.21","","10.04%"
"01/01/2003","2,472.79","2,574.27","2,593.65","2,398.02","","-3.65%"
"12/01/2002","2,566.41","2,600.16","2,603.03","2,427.36","","-0.75%"
"11/01/2002","2,585.79","2,563.04","2,585.79","2,453.66","","1.01%"
"10/01/2002","2,559.89","2,374.24","2,583.40","2,374.24","","7.72%"
"09/01/2002","2,376.49","2,369.00","2,469.37","2,305.28","","0.54%"
"08/01/2002","2,363.64","2,354.84","2,521.48","2,167.22","","2.48%"
"07/01/2002","2,306.43","2,485.08","2,775.51","2,237.47","","-7.79%"
"06/01/2002","2,501.19","2,760.08","2,807.66","2,353.57","","-9.20%"
"05/01/2002","2,754.49","2,722.68","3,000.49","2,611.77","","1.70%"
"04/01/2002","2,708.54","2,452.52","2,764.23","2,351.77","","10.53%"
"03/01/2002","2,450.49","2,054.65","2,458.10","2,054.65","","21.19%"
"02/01/2002","2,022.07","2,003.05","2,089.72","1,946.09","","1.92%"
"01/01/2002","1,984.00","1,775.94","2,072.85","1,775.94","","12.57%"
"12/01/2001","1,762.52","1,531.24","1,762.52","1,518.26","","15.74%"
"11/01/2001","1,522.84","1,358.99","1,624.94","1,354.12","","11.75%"
"10/01/2001","1,362.71","1,200.91","1,371.73","1,150.25","","14.35%"
"09/01/2001","1,191.67","1,371.83","1,405.23","1,166.81","","-12.16%"
"08/01/2001","1,356.62","1,296.16","1,403.78","1,238.65","","5.09%"
"07/01/2001","1,290.86","1,415.32","1,430.98","1,265.66","","-8.75%"
"06/01/2001","1,414.65","1,368.34","1,499.32","1,357.12","","3.57%"
"05/01/2001","1,365.84","1,208.60","1,371.08","1,198.46","","16.60%"
"04/01/2001","1,171.36","1,096.23","1,184.91","1,027.26","","6.88%"
"03/01/2001","1,095.96","1,036.43","1,165.01","1,026.93","","3.00%"
"02/01/2001","1,064.08","1,100.57","1,203.92","1,039.48","","-3.88%"
"01/01/2001","1,107.03","873.54","1,142.53","823.60","","22.00%"
"12/01/2000","907.38","921.80","1,024.57","819.36","","1.02%"
"11/01/2000","898.18","1,204.38","1,223.63","898.18","","-24.06%"
"10/01/2000","1,182.78","1,238.40","1,329.09","1,145.59","","-4.79%"
"09/01/2000","1,242.27","1,501.41","1,501.41","1,125.96","","-17.05%"
"08/01/2000","1,497.59","1,244.01","1,532.25","1,244.01","","23.43%"
"07/01/2000","1,213.34","1,090.50","1,213.34","1,082.71","","12.15%"
"06/01/2000","1,081.87","1,221.44","1,327.57","1,027.62","","-10.46%"
"05/01/2000","1,208.31","1,460.75","1,469.51","995.97","","-16.69%"
"04/01/2000","1,450.37","1,495.17","1,495.17","1,300.71","","-2.26%"
"03/01/2000","1,483.97","1,129.67","1,630.19","1,129.67","","34.71%"
"02/01/2000","1,101.61","1,117.27","1,269.94","1,060.46","","-0.42%"
"01/01/2000","1,106.23","1,023.40","1,318.28","1,014.13","","3.96%"
"12/01/1999","1,064.11","671.89","1,064.11","639.43","","59.41%"
"11/01/1999","667.53","573.03","744.54","560.58","","16.34%"
"10/01/1999","573.76","470.87","581.05","470.87","","22.40%"
"09/01/1999","468.77","572.24","613.23","422.26","","-17.83%"
"08/01/1999","570.47","641.23","656.76","505.61","","-10.05%"
"07/01/1999","634.21","705.87","814.84","620.74","","-7.33%"
"06/01/1999","684.35","540.02","723.57","514.83","","27.52%"
"05/01/1999","536.64","567.97","568.52","419.17","","7.25%"
"04/01/1999","500.36","434.54","502.61","373.63","","14.51%"
"03/01/1999","436.95","370.34","478.38","365.71","","21.48%"
"02/01/1999","359.70","280.98","395.44","279.86","","27.45%"
"01/01/1999","282.23","273.63","314.86","265.24","","3.14%"
"12/01/1998","273.63","281.05","285.73","259.83","","-4.77%"
"11/01/1998","287.33","206.30","290.86","203.30","","38.26%"
"10/01/1998","207.82","156.71","236.75","135.72","","31.30%"
"09/01/1998","158.28","132.20","293.53","120.95","","35.70%"
"08/01/1998","116.64","205.74","208.85","108.08","","-44.44%"
"07/01/1998","209.92","215.73","272.01","183.83","","-0.48%"
"06/01/1998","210.94","257.36","300.21","209.03","","-20.47%"
"05/01/1998","265.24","441.71","441.71","252.40","","-38.43%"
"04/01/1998","430.80","443.48","455.45","417.85","","-3.61%"
"03/01/1998","446.93","423.72","502.36","423.72","","5.77%"
"02/01/1998","422.53","400.45","426.58","385.56","","9.68%"
"01/01/1998","385.25","537.83","565.26","356.78","","-27.57%"
"12/01/1997","531.88","436.90","532.18","425.53","","21.69%"
"11/01/1997","437.07","561.63","588.66","437.07","","-21.81%"
"10/01/1997","558.99","657.13","754.07","519.63","","-14.89%"
"09/01/1997","656.79","620.27","664.77","593.69","","5.59%"
"08/01/1997","622.03","661.80","744.86","622.03","","-5.80%"
"07/01/1997","660.31","544.91","676.68","544.91","","21.31%"
"06/01/1997","544.31","461.91","563.15","460.81","","17.90%"
"05/01/1997","461.69","417.54","476.01","417.54","","10.94%"
"04/01/1997","416.17","388.06","416.17","364.10","","7.27%"
"03/01/1997","387.96","420.82","428.93","380.19","","-7.88%"
"02/01/1997","421.16","347.81","444.69","347.81","","21.13%"
"01/01/1997","347.69","246.98","370.37","246.98","","38.70%"
"12/01/1996","250.68","235.12","250.68","228.76","","7.71%"
"11/01/1996","232.73","219.17","238.09","219.17","","6.60%"
"10/01/1996","218.33","201.12","229.45","196.58","","8.44%"
"09/01/1996","201.34","222.99","222.99","190.45","","-8.33%"
"08/01/1996","219.64","184.71","224.87","184.71","","23.66%"
"07/01/1996","177.61","228.15","262.46","170.19","","-24.09%"
"06/01/1996","233.96","168.30","260.26","154.71","","41.25%"
"05/01/1996","165.64","114.81","185.17","114.81","","43.65%"
"04/01/1996","115.31","84.66","120.31","84.66","","39.69%"
"03/01/1996","82.55","76.09","84.88","72.49","","6.92%"
"02/01/1996","77.21","86.39","88.99","75.98","","-10.10%"